Titulo,Area,Nivel,Tipo,URL,Descripcion
"Curso de Python para Principiantes",Programacion,Basico,Practico,"https://www.youtube.com/watch?v=nKPbfIU442g","Aprende a programar con Python desde cero. Cubre variables, tipos de datos, bucles, condicionales y funciones."
"Introduccion al Algebra",Algebra,Basico,Teorico,"https://www.youtube.com/watch?v=3_qA-w_t-sM","Conceptos fundamentales del algebra, monomios, polinomios, ecuaciones de primer grado."
"Movimiento Rectilineo Uniforme (MRU)",Fisica,Basico,Practico,"https://www.youtube.com/watch?v=r2Z__D-a-Y8","Explicacion y problemas resueltos sobre el MRU, el concepto mas basico de la cinematica en fisica."
"Aprende Ingles Basico - Saludos y Presentaciones",Ingles,Basico,Practico,"https://www.youtube.com/watch?v=F03-e_agS-s","Leccion para aprender los saludos y presentaciones mas comunes en ingles. Vocabulario esencial."
"El sustantivo y el adjetivo",Lengua y Literatura,Basico,Teorico,"https://www.youtube.com/watch?v=gSott33-e-k","Diferencias clave entre sustantivos y adjetivos con ejemplos claros. Gramatica espanola."
"Curso de Calculo Diferencial Completo",Matematica,Avanzado,Teorico,"https://www.youtube.com/watch?v=oJTwQv_M5-I","Curso completo sobre limites, derivadas y sus aplicaciones en problemas de optimizacion."
"Fuerzas y Leyes de Newton",Fisica,Intermedio,Teorico,"https://www.youtube.com/watch?v=1yB-I0_iWdY","Explicacion de las tres leyes de Newton, diagramas de cuerpo libre y el concepto de fuerza."
"Java POO - Programacion Orientada a Objetos",Programacion,Avanzado,Teorico,"https://www.youtube.com/watch?v=ASR3m3_d7F8","Curso sobre los pilares de la programacion orientada a objetos: herencia, polimorfismo, encapsulamiento."
"Analisis de Oraciones Simples y Compuestas",Lengua y Literatura,Intermedio,Practico,"https://www.youtube.com/watch?v=aW27a2jS1eM","Aprende a identificar el sujeto, predicado y los diferentes tipos de oraciones en la sintaxis espanola."
"Teorema de Pitagoras",Matematica,Basico,Practico,"https://www.youtube.com/watch?v=2UbdPiqI0hQ","Geometria basica para entender triangulos rectangulos y el teorema de pitagoras."
"Trigonometria - Introduccion",Matematica,Intermedio,Teorico,"https://www.youtube.com/watch?v=_p5s4k_y-eU","Conceptos de seno, coseno y tangente aplicados a triangulos."
"Curso de SQL desde Cero",Programacion,Intermedio,Practico,"https://www.youtube.com/watch?v=CqH-hI9_H64","Bases de datos relacionales, consultas, joins. Habilidad fundamental en programacion."
"Sistemas de Ecuaciones Lineales",Algebra,Intermedio,Practico,"https://www.youtube.com/watch?v=o_g0_p8j3n0","Metodos de resolucion de sistemas de ecuaciones 2x2: sustitucion, igualacion y reduccion."
"Matrices y Determinantes",Algebra,Avanzado,Teorico,"https://www.youtube.com/watch?v=wz-yC-jOPjM","Operaciones con matrices, calculo de determinantes y sus propiedades."
"Termodinamica - Ley Cero y Primera Ley",Fisica,Avanzado,Teorico,"https://www.youtube.com/watch?v=VIV68khOovc","Conceptos de temperatura, calor, y la conservacion de la energia en sistemas termodinamicos."
"Verbos Modales en Ingles (can, could, should)",Ingles,Intermedio,Teorico,"https://www.youtube.com/watch?v=S2Lz2mm_dFk","Como y cuando usar los verbos modales mas importantes en ingles."
"Ingles Avanzado - Condicionales (If Clauses)",Ingles,Avanzado,Practico,"https://www.youtube.com/watch?v=RovF1-DbZ8E","Aprende a formar los condicionales tipo 1, 2 y 3 en ingles."
"Figuras Literarias - Las mas importantes",Lengua y Literatura,Avanzado,Teorico,"https://www.youtube.com/watch?v=84z22N4b84M","Analisis de metafora, simil, hiperbole y otras figuras retoricas."
